_id,NOSUNNUM,BUSLINEID,COMPANY,START,MIDD,END,FKM,FMIN,NOMAL1,NOMAL2,SATTIME,REDTIME,STARTTIME,ENDTIME
184,북구3,0,알수없음,금곡동, ,금곡동,0,0,0,0,0,0,06:00,22:00
185,북구6,0,알수없음,부산정보대학, ,부산정보대학,0,0,0,0,0,0,06:00,22:00
186,북구7,0,알수없음,구포시장, ,구포시장,0,0,0,0,0,0,06:00,22:00
187,북구8,0,알수없음,만덕역, ,만덕역,0,0,0,0,0,0,06:00,22:00
188,북구8-1,0,알수없음,럭키아파트정문, ,그린코아파트,0,0,0,0,0,0,06:00,22:00
189,북구9,0,알수없음,만덕고교, ,만덕고교,0,0,0,0,0,0,06:00,22:00
190,사상구1-1,0,알수없음,르네시떼, ,르네시떼,0,0,0,0,0,0,06:00,22:00
191,사상구2,0,알수없음,LG주례아파트, ,LG주례아파트,0,0,0,0,0,0,06:00,22:00
192,사상구2-1,0,알수없음,주례역, ,주례역,0,0,0,0,0,0,06:00,22:00
193,사상구3,0,알수없음,무지개아파트, ,무지개아파트,0,0,0,0,0,0,06:00,22:00
194,사상구5,0,알수없음,동서대, ,주례여고,0,0,0,0,0,0,06:00,22:00
195,사상구5-1,0,알수없음,냉정1번출구, ,냉정1번출구,0,0,0,0,0,0,06:00,22:00
196,사상구5-2,0,알수없음,동서대, ,주례여고,0,0,0,0,0,0,06:00,22:00
197,사상구6,0,알수없음,롯데백화점, ,롯데백화점,0,0,0,0,0,0,06:00,22:00
198,사하구1,0,알수없음,괴정초교, ,괴정초교,0,0,0,0,0,0,06:00,22:00
199,사하구10,0,알수없음,하단역, ,하단역,0,0,0,0,0,0,06:00,22:00
200,사하구12,0,알수없음,복지회관, ,복지회관,0,0,0,0,0,0,06:00,22:00
201,사하구14,0,알수없음,구평방파제, ,구평방파제,0,0,0,0,0,0,06:00,22:00
202,사하구15,0,알수없음,복지회관, ,복지회관,0,0,0,0,0,0,06:00,22:00
203,사하구2,0,알수없음,괴정역, ,괴정역,0,0,0,0,0,0,06:00,22:00
204,사하구2-1,0,알수없음,당리역, ,당리역,0,0,0,0,0,0,06:00,22:00
205,사하구2-2,0,알수없음,괴정역, ,괴정역,0,0,0,0,0,0,06:00,22:00
206,사하구3,0,알수없음,천우슈퍼, ,천우슈퍼,0,0,0,0,0,0,06:00,22:00
207,사하구6,0,알수없음,코오롱아파트, ,탑마트,0,0,0,0,0,0,06:00,22:00
208,사하구7,0,알수없음,코오롱아파트, ,코오롱아파트,0,0,0,0,0,0,06:00,22:00
209,사하구8,0,알수없음,코오롱아파트, ,탑마트,0,0,0,0,0,0,06:00,22:00
210,사하구9,0,알수없음,한신아파트, ,서원탑마트,0,0,0,0,0,0,06:00,22:00
211,서구1,0,알수없음,구덕꽃마을, ,구덕꽃마을,0,0,0,0,0,0,06:00,22:00
212,서구2,0,알수없음,감정초등학교, ,삼보여객차고지,0,0,0,0,0,0,06:00,22:00
213,서구2-2,0,알수없음,감천바닷가, ,감천바닷가,0,0,0,0,0,0,06:00,22:00
214,서구3,0,알수없음,구덕운동장, ,구덕운동장,0,0,0,0,0,0,06:00,22:00
215,서구5,0,알수없음,동아대학교부속병원, ,동아대학교구덕캠퍼스,0,0,0,0,0,0,06:00,22:00
216,수영구2,0,알수없음,삼익아파트A상가, ,삼익아파트A상가,0,0,0,0,0,0,06:00,22:00
217,연제구1,0,알수없음,물만골, ,물만골,0,0,0,0,0,0,06:00,22:00
218,연제구2,0,알수없음,마하사, ,마하사,0,0,0,0,0,0,06:00,22:00
219,연제구3,0,알수없음,유림아파트112동, ,유림아파트112동,0,0,0,0,0,0,06:00,22:00
220,연제구6,0,알수없음,망미삼성아파트, ,망미삼성아파트,0,0,0,0,0,0,06:00,22:00
221,연제구7,0,알수없음,LG아파트, ,LG아파트정문,0,0,0,0,0,0,06:00,22:00
222,영도구1,0,알수없음,홈플러스, ,미광APT,0,0,0,0,0,0,06:00,22:00
223,영도구2,0,알수없음,대평동, ,진주슈퍼,0,0,0,0,0,0,06:00,22:00
224,영도구5,0,알수없음,연안부두, ,연안부두,0,0,0,0,0,0,06:00,22:00
225,영도구7,0,알수없음,청학동시장, ,청학동시장,0,0,0,0,0,0,06:00,22:00
