_id,BUSLINENUM,ORD,BUSSTOPNAME,SIGUNNAME,GUNAME,DONGNAME,X,Y,UNIQUEID,BUSSTOPID,REALTIME,
118,100,37,재송삼익아파트,부산광역시,해운대구,재송2동,129.1209633,35.18891338,09161,21090651006,184730301,
119,100,38,왕자맨션,부산광역시,해운대구,반여1동,129.1170949,35.19380003,09192,21090571016,184230301,
120,100,39,안락SK아파트,부산광역시,동래구,안락2동,129.1125841,35.19463427,06181,21060621027,166070201,
121,100,40,뜨란채아파트,부산광역시,동래구,안락2동,129.1101136,35.19504645,06102,21060621017,166070202,
122,100,41,동래한전,부산광역시,동래구,안락2동,129.1048265,35.19667947,06177,21060621005,166380301,
123,100,42,안락동,부산광역시,동래구,안락1동,129.1010031,35.19728129,06174,21060611013,166390301,
124,100,43,동래한양아파트,부산광역시,동래구,안락1동,129.0933361,35.19950031,06161,21060611020,166590203,
125,100,44,동래고등학교,부산광역시,동래구,복산동,129.0895608,35.20082096,06155,21060521003,165600301,
126,100,45,동래시장,부산광역시,동래구,수민동,129.0880634,35.20110869,06154,21060511019,165600302,
127,100,46,동래전화국,부산광역시,동래구,명륜1동,129.08277,35.20433537,06070,21060531003,165750301,
128,100,47,명륜초등학교,부산광역시,동래구,명륜1동,129.0823933,35.2085711,06043,21060531001,165720101,
129,100,48,한국소방안전협회,부산광역시,동래구,명륜2동,129.0832842,35.21349471,06040,21060541001,165820101,
130,100,49,온천입구,부산광역시,동래구,명륜2동,129.0851959,35.21645517,06018,21060541002,165820103,
131,100,50,온천장,부산광역시,동래구,온천1동,129.0835117,35.21953967,06013,21060551006,209960101,
132,100,51,CGV동래,부산광역시,동래구,온천1동,129.0853726,35.22200701,06232,21060551030,165350101,
133,100,52,금정초등학교,부산광역시,금정구,장전3동,129.0859983,35.22701825,11090,21110631002,175070101,
134,100,53,부산대학교정문,부산광역시,금정구,장전3동,129.0869587,35.23236166,11080,21110631007,175620101,
135,100,54,장전1치안센터,부산광역시,금정구,장전1동,129.0877381,35.23570123,11076,21110611008,175640101,
136,100,55,장전역,부산광역시,금정구,장전1동,129.0880262,35.23839881,11071,21110611003,174970101,
137,100,56,장전초등학교,부산광역시,금정구,장전1동,129.0865473,35.24067912,11072,21110611004,174830401,
138,100,57,예그린아파트,부산광역시,금정구,장전1동,129.0866278,35.24267282,11066,21110611005,174830402,
139,100,58,국민은행구서동지점,부산광역시,금정구,구서1동,129.088667,35.24497989,11064,21110691007,175470101,
140,100,59,구서시장,부산광역시,금정구,구서1동,129.0889044,35.2463448,11061,21110691008,174900301,
141,100,60,구서롯데캐슬,부산광역시,금정구,구서1동,129.0883142,35.24934404,11181,21110691014,174920101,
142,100,61,구서역,부산광역시,금정구,구서1동,129.090734,35.24862186,11055,21110691015,174920102,
143,100,62,구서동,부산광역시,금정구,구서1동,129.0902159,35.24677408,11061,21110691001,174900301,
144,100,63,국민은행구서동지점,부산광역시,금정구,구서1동,129.0883089,35.24487741,11063,21110691003,175380302,
145,100,64,예그린아파트,부산광역시,금정구,구서1동,129.08667,35.24304305,11065,21110691004,175470301,
146,100,65,장전초등학교,부산광역시,금정구,장전1동,129.0863332,35.24014754,11073,21110611001,175470302,
147,100,66,장전동어린이놀이터,부산광역시,금정구,장전1동,129.0863624,35.23812668,11074,21110611002,174830201,
148,100,67,장전중앙교회,부산광역시,금정구,장전1동,129.0860355,35.23528615,11075,21110611006,174960301,
149,100,68,현대아파트,부산광역시,금정구,장전1동,129.0855148,35.23325769,11079,21110611007,174960302,
150,100,69,부산대학교정문,부산광역시,금정구,장전2동,129.0851576,35.23193029,11085,21110621006,174960303,
151,100,70,부산대학교후문,부산광역시,금정구,장전3동,129.0853922,35.22851256,11089,21110631010,175830201,
152,100,71,금정초등학교,부산광역시,금정구,장전3동,129.0856837,35.22674116,11091,21110631008,175630301,
153,100,72,SK허브스카이,부산광역시,동래구,온천1동,129.0848877,35.22176173,06011,21060551009,165350201,
154,100,73,온천장,부산광역시,동래구,온천1동,129.083442,35.21828732,06023,21060551029,165850201,
155,100,74,온천입구,부산광역시,동래구,명륜2동,129.0843777,35.21624715,06020,21060541005,165390402,
156,100,75,한국소방안전협회,부산광역시,동래구,명륜2동,129.0830369,35.21361278,06036,21060541007,165390403,
157,100,76,동래우체국,부산광역시,동래구,명륜1동,129.0822277,35.20942119,06045,21060531002,165820201,
158,100,77,동래전화국,부산광역시,동래구,명륜1동,129.0826235,35.20414434,06071,21060531005,165730101,
159,100,78,동래시장,부산광역시,동래구,수민동,129.0877774,35.20086311,06153,21060511018,165610203,
160,100,79,동래고등학교,부산광역시,동래구,수민동,129.0893586,35.20055303,06156,21060511014,165610205,
161,100,80,동래한양아파트,부산광역시,동래구,수민동,129.0925302,35.19944,06157,21060511008,165600201,
162,100,81,안락동,부산광역시,동래구,안락1동,129.1006206,35.19705533,06173,21060611015,166400101,
163,100,82,동래한전,부산광역시,동래구,안락2동,129.1060494,35.19616308,06179,21060621012,166380101,
164,100,83,뜨란채아파트,부산광역시,동래구,안락2동,129.1102356,35.19459732,06101,21060621018,165440101,
165,100,84,안락SK아파트,부산광역시,동래구,안락2동,129.1129627,35.1941997,06180,21060621028,166070101,
166,100,85,센텀피오레아파트,부산광역시,해운대구,반여1동,129.1184454,35.19291754,09190,21090571031,184230201,
167,100,86,센텀이편한세상,부산광역시,해운대구,재송1동,129.1205635,35.18853667,09160,21090641015,212130101,
168,100,87,해운대경찰서,부산광역시,해운대구,재송1동,129.1207426,35.18506553,09159,21090641001,184730201,
169,100,88,센텀동부센트레빌,부산광역시,해운대구,재송1동,129.1220951,35.18264548,09154,21090641016,184750201,
170,100,89,유창맨션,부산광역시,해운대구,재송1동,129.1255408,35.17915903,09147,21090641020,184750202,
171,100,90,센텀고등학교,부산광역시,해운대구,재송1동,129.1289553,35.17676588,09145,21090641021,184420101,
172,100,91,센텀센시빌,부산광역시,해운대구,우2동,129.1312108,35.17460838,09177,21090521013,184420102,
173,100,92,삼성홈플러스,부산광역시,해운대구,우2동,129.1329936,35.17208609,09143,21090521014,184270101,
174,100,93,벡스코,부산광역시,해운대구,우2동,129.1374264,35.16983721,09140,21090521006,185070101,
175,100,94,올림픽교차로,부산광역시,해운대구,우2동,129.1402487,35.16738731,09135,21090521004,185300201,
176,100,95,부산문화여고,부산광역시,해운대구,우1동,129.144815,35.16281218,09131,21090511031,186260101,
177,100,96,운촌,부산광역시,해운대구,우1동,129.1510335,35.15997127,09121,21090511024,186240101,
178,100,97,해운대역,부산광역시,해운대구,우1동,129.158458,35.163247,09105,21090511032,186500101,
179,100,98,스펀지,부산광역시,해운대구,우1동,129.1598522,35.16402841,09106,21090511006,186250101,
180,100,99,해운대시장,부산광역시,해운대구,중1동,129.1632219,35.1622456,09107,21090531006,210190201,
181,100,100,해운대온천사거리,부산광역시,해운대구,중1동,129.1646121,35.16163202,09086,21090531016,187220101,
182,100,101,중1동,부산광역시,해운대구,중1동,129.1673953,35.16203113,09085,21090531009,185910101,
183,100,102,미포 문탠로드입구,부산광역시,해운대구,중2동,129.172633,35.16142614,09019,21090541007,187200201,
184,100,103,동백중학교,부산광역시,해운대구,중2동,129.1771659,35.16237826,09023,21090541005,186140101,
185,100,104,동백초등학교,부산광역시,해운대구,중2동,129.1800511,35.16376433,09025,21090541006,185420101,
186,100,105,상록아파트,부산광역시,해운대구,좌제2동,129.1794923,35.1652637,09027,21090671009,186430401,
187,100,106,대우아파트,부산광역시,해운대구,좌제2동,129.1804424,35.1674258,09030,21090671003,185690101,
188,100,107,영남아파트,부산광역시,해운대구,좌제2동,129.182952,35.1680066,09034,21090671002,186420101,
189,100,108,벽산아파트,부산광역시,해운대구,좌제1동,129.182853,35.17073487,09036,21090661015,185870301,
190,100,109,신도시시장,부산광역시,해운대구,좌제1동,129.1808257,35.1748612,09039,21090661007,186450101,
191,100,110,송정1단지주공,부산광역시,해운대구,송정동,129.1997145,35.18148317,09011,21090561011,186750101,
192,100,111,송정해수욕장입구,부산광역시,해운대구,송정동,129.2005223,35.18272208,09049,21090561012,186750102,
193,100,112,동일주유소,부산광역시,해운대구,송정동,129.2029142,35.18722646,09007,21090561015,184860101,
194,100,113,송정2휴먼시아,부산광역시,해운대구,송정동,129.2044995,35.1906619,09005,21090561003,184860102,
195,100,114,브라보주유소,부산광역시,해운대구,송정동,129.2055607,35.19488533,09002,21090561008,184860104,
196,100,115,당사입구,부산광역시,기장군,기장읍,129.2063294,35.19782706,09194,21310111088,184490101,
197,100,116,내리,부산광역시,기장군,기장읍,129.206814,35.20069269,16051,21310111089,184490102,
198,100,117,내리초등학교,부산광역시,기장군,기장읍,129.2065646,35.2042978,16204,21310111113,0,
199,100,118,오신,부산광역시,기장군,기장읍,129.2088725,35.20774068,16050,21310111105,202460101,
200,100,119,장보고숯불갈비,부산광역시,기장군,기장읍,129.2112534,35.2173723,16057,21310111007,202100101,
201,100,120,청강리공영차고지,부산광역시,,,129.2136285,35.22572561,16266,50000000170,0,
202,100-1,1,송정해수욕장입구,부산광역시,해운대구,송정동,129.2011819,35.18441461,09008,21090561019,187600304,
203,100-1,2,송정1단지주공,부산광역시,해운대구,송정동,129.1991908,35.18132624,09012,21090561014,184860301,
204,100-1,3,신도시시장,부산광역시,해운대구,좌제1동,129.1806982,35.17519079,09040,21090661016,186220301,
205,100-1,4,동신아파트,부산광역시,해운대구,좌제1동,129.1792061,35.17639856,09046,21090661019,186450401,
206,100-1,5,동부아파트,부산광역시,해운대구,좌제1동,129.1771017,35.1775904,09047,21090661010,186450402,
207,100-1,6,대동상가,부산광역시,해운대구,좌제1동,129.1743715,35.17826158,09051,21090661022,186190401,
208,100-1,7,대림1차아파트,부산광역시,해운대구,좌제1동,129.1721939,35.1776131,09054,21090661023,186190402,
209,100-1,8,대림3차아파트,부산광역시,해운대구,좌제3동,129.1688836,35.17584642,09065,21090681009,186210301,
210,100-1,9,신성아파트,부산광역시,해운대구,좌제3동,129.1680232,35.17344422,09071,21090681005,187020201,
211,100-1,10,한일아파트,부산광역시,해운대구,좌제3동,129.1700047,35.17213984,09074,21090681008,185840201,
212,100-1,11,효성코오롱아파트,부산광역시,해운대구,좌제3동,129.169126,35.17022208,09077,21090681016,185830301,
213,100-1,12,순복음교회,부산광역시,해운대구,좌제3동,129.1676933,35.16844609,09080,21090681001,185830302,
